episode,timestep,reward,loss,policy_loss,value_loss,dist_entropy
2,2000,-36.1884,0.42352965474128723,0.0863531157374382,0.6925153732299805,-0.9081129431724548
4,4000,-36.4385,0.44280722737312317,0.19475646317005157,0.5142404437065125,-0.9069453477859497
6,6000,-35.4241,0.4485687017440796,0.20042233169078827,0.5143815875053406,-0.9044395089149475
8,8000,-35.8548,0.5673350095748901,0.18722665309906006,0.7782820463180542,-0.9032678604125977
10,10000,-36.5636,-0.00712980329990387,-0.07034733891487122,0.1444770097732544,-0.902094841003418
12,12000,-36.2573,0.3659428358078003,0.040029965341091156,0.6698206067085266,-0.8997446298599243
14,14000,-33.4543,0.30043137073516846,0.23054805397987366,0.15773451328277588,-0.898399293422699
16,16000,-34.5266,0.05533381551504135,-0.014892831444740295,0.1583741307258606,-0.8960403800010681
18,18000,-32.7043,-0.08012895286083221,-0.10813730210065842,0.07391379028558731,-0.8948588371276855
20,20000,-36.3353,-0.20334361493587494,-0.36728280782699585,0.34575188159942627,-0.8936758041381836
22,22000,-34.4483,-0.20740602910518646,-0.24696287512779236,0.09693639725446701,-0.8911362290382385
24,24000,-35.3676,0.15034452080726624,0.12648145854473114,0.0655251070857048,-0.8899489045143127
26,26000,-34.9941,0.1006111204624176,0.03922713175415993,0.14051944017410278,-0.8875699639320374
28,28000,-34.1918,0.17167551815509796,0.018089361488819122,0.32489651441574097,-0.8862080574035645
30,30000,-36.3946,-0.13749371469020844,-0.21490080654621124,0.17251449823379517,-0.8850149512290955
32,32000,-33.2152,0.19913925230503082,0.07306429743766785,0.26980242133140564,-0.8826241493225098
34,34000,-33.3501,0.01703973114490509,-0.10589466989040375,0.2634972929954529,-0.8814267516136169
36,36000,-33.4561,0.45573633909225464,0.1435960829257965,0.6418576836585999,-0.8788557648658752
38,38000,-32.9883,0.047171786427497864,-0.005195800215005875,0.12228831648826599,-0.8776536583900452
40,40000,-33.7838,0.15877926349639893,0.008815571665763855,0.3174564242362976,-0.8764501810073853
42,42000,-33.2187,-0.049597229808568954,-0.0845547765493393,0.0873924195766449,-0.8738664984703064
44,44000,-33.633,0.3889942467212677,0.2915297746658325,0.21238210797309875,-0.872658371925354
46,46000,-33.5287,-0.019038565456867218,-0.09054539352655411,0.1604425609111786,-0.8714489340782166
48,48000,-32.9974,0.08755673468112946,0.030258581042289734,0.13197675347328186,-0.8690253496170044
50,50000,-35.7755,0.3383684754371643,0.2306601107120514,0.2327694594860077,-0.8676380515098572
52,52000,-33.5181,0.3886079788208008,0.29173997044563293,0.21104006469249725,-0.8652053475379944
