timestep,action,reward
1,-1.128849,-0.12743001314956928
2,-0.20007643,-0.004003057825610146
3,-0.24289331,-0.005899715926603566
4,0.44290218,-0.01961623388982412
5,0.14128855,-0.001996245399600216
6,0.25244734,-0.006372965791403918
7,0.10858965,-0.0011791711913474502
8,0.66763765,-0.044574002662117
9,-0.15388939,-0.002368194369161447
10,0.27742758,-0.007696606432683328
11,-0.26945716,-0.00726071618440507
12,0.017635133,-3.10997920069736e-05
13,-0.2402637,-0.005772664577085607
14,0.49084944,-0.024093316816322742
15,0.06587288,-0.00043392360344265415
16,-0.3152205,-0.009936396677192594
17,0.088108756,-0.0007763152821862962
18,0.16466716,-0.0027115273358163886
19,-0.98515177,-0.09705240054629485
20,0.12510091,-0.0015650237848863213
21,0.31209534,-0.009740350378806184
22,0.1565718,-0.00245147302703721
23,-0.61640894,-0.03799599864033923
24,-0.8119283,-0.06592275192745092
25,-0.62737393,-0.03935980528017922
26,0.8934306,-0.0798218220272716
27,-1.0222592,-0.1045013944323955
28,0.8254988,-0.06814483007502191
29,0.36990404,-0.013682899976288354
30,0.07792853,-0.0006072855505806496
31,0.9690941,-0.09391433700308519
32,-0.8424255,-0.07096807654890291
33,2.6211143e-05,-6.870239932510459e-11
34,-0.16173622,-0.0026158604899152674
35,0.00751397,-5.6459747214354655e-06
36,-1.5092239,-0.22777568949968555
37,0.31888524,-0.01016877943628538
38,0.6987101,-0.048819578142946796
39,-0.24279645,-0.005895011654698213
40,-0.76531637,-0.058570914182668334
41,-0.34771204,-0.012090366272445863
42,-0.017895326,-3.202426933024416e-05
43,0.51656616,-0.02668405949100503
44,-0.9108079,-0.08295710445126794
45,0.14475915,-0.0020955211033709454
46,-0.09189994,-0.000844559876640455
47,0.9093257,-0.08268732630160827
48,-0.49779117,-0.02477960499991383
49,0.6570352,-0.04316952172261815
50,0.06392883,-0.0004086895003858837
51,-1.0161856,-0.1032633257561443
52,0.20495626,-0.004200706986743886
53,0.2500558,-0.006252789808627313
54,-0.039033964,-0.00015236503671245405
55,-0.9221226,-0.08503100851786627
56,0.099519834,-0.0009904197343939326
57,0.461943,-0.021339133576179226
58,-0.19068064,-0.003635910569117962
59,1.2633212,-0.15959803565129393
60,0.80122924,-0.06419682926435258
61,-1.1015948,-0.12135111159837067
62,-0.086400226,-0.0007464999011128848
63,0.5897604,-0.034781735619107225
64,-0.100223236,-0.0010044696991408364
65,0.49976,-0.024976005949690096
66,-0.2161592,-0.004672479745675507
67,0.32551908,-0.010596267465393794
68,0.018200327,-3.3125189238493445e-05
69,-0.15533003,-0.0024127418875360186
70,-0.5410992,-0.02927883341891544
71,-0.10261564,-0.0010529969483821457
72,0.6841906,-0.04681167378669535
73,-0.59147805,-0.03498462833420923
74,0.11257259,-0.0012672587574989404
75,0.7036539,-0.04951287715990169
76,-0.15399553,-0.0023714622895681936
77,0.108849294,-0.0011848168909590895
78,0.24630804,-0.00606676523416303
79,0.20404017,-0.004163239085768567
80,-0.13498278,-0.0018220350794502461
81,0.26537192,-0.007042225522299362
82,0.5779724,-0.03340521091595292
83,0.5031667,-0.025317670340177758
84,-0.385605,-0.014869122173970429
85,-0.374444,-0.014020831503239607
86,0.6238242,-0.03891566065202632
87,-0.9668831,-0.09348629733894463
88,0.45055637,-0.020300104041710034
89,0.10429696,-0.001087785585202067
90,0.2342698,-0.005488233816217658
91,0.61079633,-0.037307215962358954
92,-0.5914278,-0.03497868462081897
93,-0.31270182,-0.009778242906135404
94,0.21715993,-0.004715843384744645
95,-1.4069376,-0.1979473407992373
96,-0.15566534,-0.0024231697466920114
97,-0.054424077,-0.0002961980186953817
98,1.1770421,-0.13854281679218872
99,-0.5645794,-0.031874992966521985
100,0.7407298,-0.05486806496558075
101,-0.079366915,-0.0006299107185181952
102,-0.024648588,-6.0755289782478406e-05
103,0.53345186,-0.028457088179780855
104,0.8348177,-0.06969206048200115
105,-0.30997932,-0.00960871785625983
106,-0.23048326,-0.005312253486009499
107,-0.5051689,-0.025519563247507905
108,-0.83101434,-0.06905848252339163
