episode,timestep,reward,loss,policy_loss,value_loss,dist_entropy
13,2000,488.1308,0.6302792429924011,0.17434850335121155,1.020835041999817,-5.4486775398254395
30,4000,410.3016,0.8550071716308594,0.3504924476146698,1.1179829835891724,-5.447677135467529
44,6000,462.8005,0.3098776340484619,-0.09677007049322128,0.9222089052200317,-5.445676803588867
58,8000,496.0281,0.2350350320339203,-0.07613151520490646,0.7312066555023193,-5.4436750411987305
71,10000,498.0596,0.10366323590278625,-0.12857452034950256,0.5733290314674377,-5.442673683166504
84,12000,478.61,-0.07011125236749649,-0.08189007639884949,0.13237106800079346,-5.440671920776367
97,14000,553.6299,0.26360443234443665,-0.007526673376560211,0.651055634021759,-5.439671039581299
109,16000,561.2402,1.3286380767822266,0.6877580285072327,1.390493392944336,-5.436664581298828
120,18000,579.1659,0.5494774580001831,0.22938692569732666,0.7488942742347717,-5.435663223266602
133,20000,525.9332,-0.08609259873628616,-0.26315218210220337,0.46281230449676514,-5.4346604347229
145,22000,512.7502,-0.19576206803321838,-0.2966952621936798,0.3105195164680481,-5.4326558113098145
158,24000,496.678,0.5216096639633179,0.29298004508018494,0.565892219543457,-5.431653022766113
171,26000,542.9738,0.31342774629592896,0.09424858540296555,0.5469312071800232,-5.428643226623535
183,28000,560.5181,0.017932340502738953,-0.06173398718237877,0.2678854763507843,-5.427639961242676
196,30000,464.1,0.3889298439025879,0.24799612164497375,0.3904001712799072,-5.426636695861816
207,32000,627.9575,0.7317615747451782,0.17424863576889038,1.2235184907913208,-5.424628734588623
220,34000,488.5259,-0.1480187177658081,-0.16013363003730774,0.1327023059129715,-5.423624515533447
231,36000,615.3659,0.6376041173934937,0.08365542441606522,1.2163095474243164,-5.420611381530762
244,38000,522.6653,0.7242191433906555,0.4658496379852295,0.6251311302185059,-5.4196062088012695
255,40000,603.4952,-0.3276597261428833,-0.4013521075248718,0.25575682520866394,-5.41860294342041
266,42000,570.2888,0.23917677998542786,-0.08388648927211761,0.7544584274291992,-5.416591644287109
